1,1,550,103,582,197,-1,-1,-1,-1
1,2,864,226,903,337,-1,-1,-1,-1
1,3,454,65,480,149,-1,-1,-1,-1
1,4,249,64,276,149,-1,-1,-1,-1
1,5,174,49,203,137,-1,-1,-1,-1
1,6,137,189,164,292,-1,-1,-1,-1
1,7,437,62,469,150,-1,-1,-1,-1
1,8,119,192,153,296,-1,-1,-1,-1
1,9,678,291,711,400,-1,-1,-1,-1
1,10,205,47,231,130,-1,-1,-1,-1
1,11,817,129,853,216,-1,-1,-1,-1
1,12,712,127,748,207,-1,-1,-1,-1
1,13,547,489,586,537,-1,-1,-1,-1
1,14,272,73,303,161,-1,-1,-1,-1
1,15,897,101,928,195,-1,-1,-1,-1
1,16,525,64,552,156,-1,-1,-1,-1
1,17,395,71,427,163,-1,-1,-1,-1
1,18,50,268,88,395,-1,-1,-1,-1
1,19,179,202,227,325,-1,-1,-1,-1
1,20,139,53,170,142,-1,-1,-1,-1
2,1,548,103,579,195,-1,-1,-1,-1
2,2,864,226,902,336,-1,-1,-1,-1
2,3,454,65,480,149,-1,-1,-1,-1
2,4,248,64,276,149,-1,-1,-1,-1
2,5,175,50,203,137,-1,-1,-1,-1
2,6,136,190,162,292,-1,-1,-1,-1
2,7,437,62,469,150,-1,-1,-1,-1
2,8,119,190,154,296,-1,-1,-1,-1
2,9,678,291,711,400,-1,-1,-1,-1
2,10,205,46,230,128,-1,-1,-1,-1
2,11,815,129,851,216,-1,-1,-1,-1
2,12,711,125,747,205,-1,-1,-1,-1
2,13,547,489,586,537,-1,-1,-1,-1
2,14,272,73,303,161,-1,-1,-1,-1
2,15,897,101,928,194,-1,-1,-1,-1
2,16,524,63,552,155,-1,-1,-1,-1
2,17,395,71,427,163,-1,-1,-1,-1
2,18,50,268,88,395,-1,-1,-1,-1
2,19,179,202,226,324,-1,-1,-1,-1
2,20,139,53,170,142,-1,-1,-1,-1
3,1,546,103,577,193,-1,-1,-1,-1
3,2,863,225,902,335,-1,-1,-1,-1
3,3,455,66,480,149,-1,-1,-1,-1
3,4,248,64,276,149,-1,-1,-1,-1
3,5,174,50,203,137,-1,-1,-1,-1
3,7,436,63,469,151,-1,-1,-1,-1
3,8,120,188,156,297,-1,-1,-1,-1
3,9,678,291,711,400,-1,-1,-1,-1
3,10,205,47,231,127,-1,-1,-1,-1
3,11,815,129,851,215,-1,-1,-1,-1
3,12,711,124,748,206,-1,-1,-1,-1
3,13,549,490,587,537,-1,-1,-1,-1
3,14,271,73,303,162,-1,-1,-1,-1
3,15,897,100,928,193,-1,-1,-1,-1
3,16,524,62,551,154,-1,-1,-1,-1
3,17,394,70,427,163,-1,-1,-1,-1
3,18,50,267,89,395,-1,-1,-1,-1
3,19,179,202,227,325,-1,-1,-1,-1
3,20,139,53,170,142,-1,-1,-1,-1
3,21,769,124,804,215,-1,-1,-1,-1
1,1,550,103,582,197,-1,-1,-1,-1
1,2,864,226,903,337,-1,-1,-1,-1
1,3,454,65,480,149,-1,-1,-1,-1
1,4,249,64,276,149,-1,-1,-1,-1
1,5,174,49,203,137,-1,-1,-1,-1
1,6,137,189,164,292,-1,-1,-1,-1
1,7,437,62,469,150,-1,-1,-1,-1
1,8,119,192,153,296,-1,-1,-1,-1
1,9,678,291,711,400,-1,-1,-1,-1
1,10,205,47,231,130,-1,-1,-1,-1
1,11,817,129,853,216,-1,-1,-1,-1
1,12,712,127,748,207,-1,-1,-1,-1
1,13,547,489,586,537,-1,-1,-1,-1
1,14,272,73,303,161,-1,-1,-1,-1
1,15,897,101,928,195,-1,-1,-1,-1
1,16,525,64,552,156,-1,-1,-1,-1
1,17,395,71,427,163,-1,-1,-1,-1
1,18,50,268,88,395,-1,-1,-1,-1
1,19,179,202,227,325,-1,-1,-1,-1
1,20,139,53,170,142,-1,-1,-1,-1
2,1,548,103,579,195,-1,-1,-1,-1
2,2,864,226,902,336,-1,-1,-1,-1
2,3,454,65,480,149,-1,-1,-1,-1
2,4,248,64,276,149,-1,-1,-1,-1
2,5,175,50,203,137,-1,-1,-1,-1
2,6,136,190,162,292,-1,-1,-1,-1
2,7,437,62,469,150,-1,-1,-1,-1
2,8,119,190,154,296,-1,-1,-1,-1
2,9,678,291,711,400,-1,-1,-1,-1
2,10,205,46,230,128,-1,-1,-1,-1
2,11,815,129,851,216,-1,-1,-1,-1
2,12,711,125,747,205,-1,-1,-1,-1
2,13,547,489,586,537,-1,-1,-1,-1
2,14,272,73,303,161,-1,-1,-1,-1
2,15,897,101,928,194,-1,-1,-1,-1
2,16,524,63,552,155,-1,-1,-1,-1
2,17,395,71,427,163,-1,-1,-1,-1
2,18,50,268,88,395,-1,-1,-1,-1
